recording,signal,region,created,sizebytes,duration,firstsample,samplerate,gain,minvolts,maxvolts,bitdepth,chanstart,chanend,chansys,nchans
0,ap,hpc,2022-07-27 19:41:37,167613398260,7255.991266666667,8342038,30000,500,-0.6,0.6,512,0,383,384,385
0,ap,pfc,2022-07-27 19:41:37,167613730900,7256.005666666667,8342038,30000,500,-0.6,0.6,512,0,383,384,385
0,lfp,hpc,2022-07-27 19:41:37,13967783830,7255.9916,695169,2500,125,-0.6,0.6,512,0,383,384,385
0,lfp,pfc,2022-07-27 19:41:37,13967811550,7256.006,695169,2500,125,-0.6,0.6,512,0,383,384,385
1,ap,hpc,2022-07-28 13:19:08,172464739370,7466.006033333333,2005727,30000,500,-0.6,0.6,512,0,383,384,385
1,ap,pfc,2022-07-28 13:19:08,172465007330,7466.017633333333,2005727,30000,500,-0.6,0.6,512,0,383,384,385
1,lfp,hpc,2022-07-28 13:19:08,14372062320,7466.0064,167143,2500,125,-0.6,0.6,512,0,383,384,385
1,lfp,pfc,2022-07-28 13:19:08,14372084650,7466.018,167143,2500,125,-0.6,0.6,512,0,383,384,385
2,ap,hpc,2022-08-01 16:30:01,168066949820,7275.625533333333,3368714,30000,500,-0.6,0.6,512,0,383,384,385
2,ap,pfc,2022-08-01 16:30:01,168067153100,7275.634333333333,3368714,30000,500,-0.6,0.6,512,0,383,384,385
2,lfp,hpc,2022-08-01 16:30:01,14005579280,7275.6256,280726,2500,125,-0.6,0.6,512,0,383,384,385
2,lfp,pfc,2022-08-01 16:30:01,14005596220,7275.6344,280726,2500,125,-0.6,0.6,512,0,383,384,385
3,ap,hpc,2022-08-03 12:45:02,167609776180,7255.834466666666,1157254,30000,500,-0.6,0.6,512,0,383,384,385
3,ap,pfc,2022-08-03 12:45:02,167610108820,7255.848866666666,1157254,30000,500,-0.6,0.6,512,0,383,384,385
3,lfp,hpc,2022-08-03 12:45:02,13967481990,7255.8348,96437,2500,125,-0.6,0.6,512,0,383,384,385
3,lfp,pfc,2022-08-03 12:45:02,13967509710,7255.8492,96437,2500,125,-0.6,0.6,512,0,383,384,385
4,ap,hpc,2022-08-04 15:45:22,167712443360,7260.278933333333,1293164,30000,500,-0.6,0.6,512,0,383,384,385
4,ap,pfc,2022-08-04 15:45:22,167712674360,7260.288933333333,1293164,30000,500,-0.6,0.6,512,0,383,384,385
4,lfp,hpc,2022-08-04 15:45:22,13976037460,7260.2792,107763,2500,125,-0.6,0.6,512,0,383,384,385
4,lfp,pfc,2022-08-04 15:45:22,13976056710,7260.2892,107763,2500,125,-0.6,0.6,512,0,383,384,385
5,ap,hpc,2022-08-06 17:20:02,166953000060,7227.4026,2904054,30000,500,-0.6,0.6,512,0,383,384,385
5,ap,pfc,2022-08-06 17:20:02,166953277260,7227.4146,2904054,30000,500,-0.6,0.6,512,0,383,384,385
