Name_file,rec_id,Lfp start,Lfp end,theta_start,,theta_end,ripple_start,ripple_end,,frame_used,fisure,fisure_old,notes,Oriens start,Oriens stop,Pyramid start,Pyramid stop,,rad start,rad stop,,LocMol start,LocMol stop,Dent Up start,Dent Up stop,Dent Down start,Dent Down stop,
2022-07-27_07-41-00_M015_SAL_PFC_HPC_0_0_0mpk_HPCprobe,0,24077,18029080,94,95,171,105,122,17,2,135,,,0,5,6,14,16,15,17,4,18,20,21,29,30,38,
2022-07-28_13-19-00_M016_SAL_PFC_HPC_0_0_0mpk_HPCprobe,1,56145,18614969,93,93,148,103,120,17,0,125,,,0,5,6,13,14,14,14,0,15,16,17,21,22,27,
2022-08-01_04-30-00_M015_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,2,87594,18093008,75,75,131,85,98,13,0,120,,,0,5,6,11,10,12,17,10,18,22,23,25,26,28,
2022-08-03_12-45-00_M015_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,3,62372,18064301,64,72,111,82,92,10,0,98,,,0,9,10,14,8,15,15,0,16,17,18,20,21,23,
2022-08-04_03-45-00_M016_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,4,58586,18068529,78,90,127,100,117,17,0,nan,,,0,11,12,19,,20,,,,,,,,24,
2022-08-06-05-20-00_M016_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,5,36874,18018439,0,-10,0,,,,,,,,0,0,1,0,,1,0,,1,0,1,0,1,0,
2022-08-08-04-05-00_M017_SAL_mPFC_HPC_0_0_0mpk_HPCprobe,6,38525,18046552,0,-10,0,,,,,,,,0,0,1,0,,1,0,,1,0,1,0,1,0,
2022-08-11-01-55-00_M018_SAL_mPFC_HPC_0_0_0mpk_HPCprobe,7,38439,18060209,60,93,123,103,112,,0,75,,CA1 and DG/CA3 seem inverted,0,21,22,26,,27,16,,17,7,8,19,20,31,
2022-08-12-02-35-00_M017_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,8,28792,18039519,65,55,150,65,79,,1,125,,,0,0,1,7,,8,18,,19,30,31,36,37,42,
2022-08-13-03-57-00_M018_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,9,23493,18035202,54,54,150,64,78,,2,nan,,,0,5,6,12,,13,,,,,,,,48,
2022-08-15-02-25-00_M018_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,10,31173,18041846,40,33,110,43,64,,7,nan,,,0,1,2,12,,13,,,,,,,,35,
2022-08-18-01-20-00_M020_1020_mPFC_HPC_1_3_10_30mpk_HPCprobe,11,34482,22565378,66,66,130,76,88,,2,96,,,0,5,6,11,,12,13,,14,15,16,23,24,32,
2022-08-19-04-25-00_M019_1020_mPFC_HPC_1_3_10_30mpk_HPCprobe,12,23697,22531901,57,59,116,69,88,,0,95,,,0,6,7,15,,16,17,,18,19,20,24,25,29,
2022-09-06-01-50-00-M021_1020_mPFC_HPC_1_3_10_30mpk_HPCprobe,13,29867,22563238,79,86,146,96,118,,0,nan,,,0,8,9,19,,20,,,,,,,,33,
2022-09-07-02-54-00-M022_1020_mPFC_HPC_1_3_10_30mpk_HPCprobe,14,32168,22554383,65,72,120,82,93,,0,98,,,0,8,9,14,,15,15,,16,16,17,22,23,27,
2022-09-12-04-40-00_M023_SAL_mPFC_HPC_0_0_0mpk_HPCprobe,15,37339,18043918,72,,125,nan,nan,,0,nan,,,0,,,,,,,,,,,,,26,
2022-09-14-03-35-00_M023_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,16,26681,18089005,64,64,131,74,86,,9,90,,,0,5,6,11,,12,12,,13,13,14,23,24,33,
2022-09-16-02-10-00_M023_RSK_mPFC_HPC_3_10_30mpk_HPCprobe,17,26326,18030717,20,23,70,33,46,,0,nan,,short HPC,0,6,7,13,,14,,,,,,,,25,
2022-09-21-05-20-00-M024_R-ketamine_mPFC_HPC_1_3_10_30mpk_HPCprobe,18,20968,22507431,80,83,128,93,108,,0,119,,,0,6,7,14,,15,16,,17,19,20,21,22,24,
2022-09-22-02-50-00_M025_S-ketamine_mPFC_HPC_1_3_10_30mpk_HPCprobe,19,21844,22518851,63,63,127,73,86,,0,nan,,,0,5,6,11,,12,,,,,,,,32,
2022-09-23-02-00-00_M026_R-ketamine_mPFC_HPC_1_3_10_30mpk_HPCprobe,20,22903,22554525,70,74,130,84,97,,0,nan,,,0,7,8,13,,14,,,,,,,,30,
2022-09-24-04-55-00_M027_S-ketamine_mPFC_HPC_1_3_10_30mpk_HPCprobe,21,19528,22524548,57,63,130,73,84,,4,115,,,0,8,9,13,,14,21,,22,29,30,32,33,36,
2022-09-29-01-00-00_M024_R-ketamine_mPFC_HPC_1_3_10_30mpk_HPCprobe,22,19486,22528772,72,74,132,84,92,,4,96,,,0,6,7,10,,11,11,,12,12,13,21,22,30,
2022-10-03-03-25-00_M025_S-ketamine_mPFC_HPC_1_3_10_30mpk_HPCprobe,23,34211,22542761,47,52,120,62,78,,4,94,,,0,7,8,15,,16,19,,20,23,24,30,31,36,
